x,y,distance,angle,is_header,is_volley,is_big_chance,is_penalty,is_free_kick,defenders_in_cone,gk_set,centrality,goal,dist_angle,match_id,competition
112.9,38.6,7.237,1.0013,1,0,1,0,0,3,1,0.965,0,7.246,3857301,WC 2022
95.4,52.7,27.685,0.2565,0,0,0,0,0,2,1,0.682,0,7.1,3857301,WC 2022
93.6,20.3,32.94,0.195,0,0,0,0,0,1,1,0.508,0,6.425,3857301,WC 2022
107.2,33.3,14.447,0.4884,0,0,0,0,0,2,1,0.832,1,7.056,3857301,WC 2022
112.5,48.1,11.039,0.5156,1,0,1,0,0,1,1,0.797,1,5.692,3857301,WC 2022
111.6,39.3,8.429,0.8845,0,1,1,0,0,4,1,0.982,0,7.455,3857301,WC 2022
112.1,27.2,15.042,0.292,0,1,0,0,0,0,1,0.68,0,4.392,3857301,WC 2022
108.8,48.6,14.121,0.4544,0,1,0,0,0,0,1,0.785,0,6.417,3857301,WC 2022
89.5,22.9,34.967,0.1995,0,0,0,0,0,3,1,0.573,0,6.977,3857301,WC 2022
102.6,34.4,18.279,0.4125,0,0,0,0,0,1,1,0.86,0,7.54,3857301,WC 2022
113.2,40.5,6.818,1.0599,0,0,1,0,0,0,1,0.988,0,7.227,3857301,WC 2022
107.3,53.4,18.462,0.3031,0,0,0,0,0,0,1,0.665,0,5.596,3857301,WC 2022
110.1,38.7,9.985,0.7578,1,0,1,0,0,3,1,0.968,1,7.566,3857301,WC 2022
107.1,38.8,12.956,0.5969,1,0,0,0,0,2,1,0.97,0,7.733,3857301,WC 2022
107.8,45.3,13.302,0.5452,0,0,0,0,0,2,1,0.868,1,7.252,3857301,WC 2022
95.4,52.1,27.415,0.2614,0,0,0,0,0,3,1,0.698,0,7.167,3857301,WC 2022
110.5,39.5,9.513,0.7954,1,0,1,0,0,1,1,0.988,0,7.566,3857301,WC 2022
97.1,41.8,22.971,0.3438,0,0,0,0,0,3,1,0.955,0,7.898,3857301,WC 2022
91.7,31.8,29.464,0.2597,0,0,0,0,0,2,1,0.795,0,7.651,3857268,WC 2022
109.8,50.0,14.284,0.4094,0,0,0,0,0,3,1,0.75,0,5.848,3857268,WC 2022
111.4,42.8,9.044,0.8077,0,1,1,0,0,1,1,0.93,0,7.305,3857268,WC 2022
106.2,35.6,14.484,0.5178,0,1,0,0,0,7,1,0.89,0,7.5,3857268,WC 2022
108.1,40.1,11.9,0.6485,0,0,0,1,0,0,0,0.997,0,7.717,3857268,WC 2022
